"RelativePath"                                                                , "Width", "Height", "Format"
"particles\electricity_ring.dds"                                              , "128"  , "128"   , "dds"
"particles\electricity_stream_01.dds"                                         , "128"  , "128"   , "dds"
"particles\electron_bolter_flash_01.dds"                                      , "128"  , "256"   , "dds"
"particles\electron_burst_cloud_mod_01.dds"                                   , "256"  , "256"   , "dds"
"particles\energy_01.dds"                                                     , "256"  , "256"   , "dds"
"particles\explosion_add_01.dds"                                              , "64"   , "128"   , "dds"
"particles\fake_shadow_01.dds"                                                , "128"  , "128"   , "dds"
"particles\fake_shadow_napalm_add.dds"                                        , "128"  , "128"   , "dds"
"particles\fake_shadow_napalm.dds"                                            , "128"  , "128"   , "dds"
"particles\fire_cloud_add_01.dds"                                             , "64"   , "128"   , "dds"
"particles\fire_cloud_add_02.dds"                                             , "256"  , "256"   , "dds"
"particles\fire_cloud_alpha_01.dds"                                           , "128"  , "128"   , "dds"
"particles\fire_cloud_alpha_02.dds"                                           , "128"  , "128"   , "dds"
"particles\fire_cloud_alpha_03.dds"                                           , "256"  , "256"   , "dds"
"particles\fire_cloud_premod_01.dds"                                          , "256"  , "256"   , "dds"
"particles\fire_cloud_premod_02.dds"                                          , "128"  , "256"   , "dds"
"particles\fire_cloud_premod_03.dds"                                          , "128"  , "128"   , "dds"
"particles\fire_cloud_premod_04.dds"                                          , "256"  , "256"   , "dds"
"particles\fire_cloud_premod_05.dds"                                          , "256"  , "256"   , "dds"
"particles\fire_explode_01.dds"                                               , "128"  , "128"   , "dds"
"particles\fire_flame_add_01.dds"                                             , "128"  , "128"   , "dds"
"particles\fire_flame_add_02.dds"                                             , "128"  , "384"   , "dds"
"particles\fire_flame_add_03.dds"                                             , "256"  , "256"   , "dds"
"particles\fire_flame_add_04.dds"                                             , "256"  , "256"   , "dds"
"particles\fire_flame_add_05.dds"                                             , "256"  , "1024"  , "dds"
"particles\fire_flame_premod_add_01.dds"                                      , "128"  , "128"   , "dds"
"particles\fire_multiply_01.dds"                                              , "256"  , "256"   , "dds"
"particles\fireball.dds"                                                      , "1024" , "128"   , "dds"
"particles\flare_01.dds"                                                      , "256"  , "256"   , "dds"
"particles\flare_lens_add_01.dds"                                             , "64"   , "64"    , "dds"
"particles\flare_lens_add_02.dds"                                             , "128"  , "128"   , "dds"
"particles\flare_lens_add_03.dds"                                             , "128"  , "128"   , "dds"
"particles\frontal_glow_01.dds"                                               , "64"   , "64"    , "dds"
"particles\gas_alpha_01.dds"                                                  , "256"  , "256"   , "dds"
"particles\gatling_plasma_munition_01.dds"                                    , "512"  , "64"    , "dds"
"particles\gatling_plasma_munition_02.dds"                                    , "512"  , "64"    , "dds"
"particles\gatling_plasma_munition_03.dds"                                    , "512"  , "64"    , "dds"
"particles\geyser_01.dds"                                                     , "256"  , "256"   , "dds"
"particles\glow_01.dds"                                                       , "256"  , "256"   , "dds"
"particles\glow_02.dds"                                                       , "256"  , "256"   , "dds"
"particles\glow_03.dds"                                                       , "128"  , "128"   , "dds"
"particles\glow_04.dds"                                                       , "256"  , "256"   , "dds"
"particles\glow_05.dds"                                                       , "256"  , "256"   , "dds"
"particles\glow_alpha_01.dds"                                                 , "256"  , "256"   , "dds"
